gr:category,gr:category,gr:category,gr:category,variations,gr:hasBusinessFunction,gr:hasUnitOfMeasurement,eco:http://www.ebusiness-unibw.org/ontologies/eclass/5.1.4/#,pto:http://www.productontology.org/id/,base_price,duration,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Kişisel Bakım Hizmetleri,Saç Şekillendirme,Nişan Saçı (Bayan),Salonda-Uygulama Salon-Dışı-Uygulama,ProvideService,C62,C_AKG498003-gen,Hair_styling,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Kişisel Bakım Hizmetleri,Saç Şekillendirme,Örgü,Komple Örgü Kısmi Örgü,ProvideService,C62,C_AKG498003-gen,Hair_styling,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Kişisel Bakım Hizmetleri,Saç Şekillendirme,Perma,Kısa-Saç-İçin Uzun-Saç-İçin,ProvideService,C62,C_AKG498003-gen,Perm_(hairstyle),0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Kişisel Bakım Hizmetleri,Saç Şekillendirme,Tarama,Standart-Uygulama,ProvideService,C62,C_AKG498003-gen,Hair_styling,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Kişisel Bakım Hizmetleri,Saç Şekillendirme,Topuz,Modern-Topuz Normal-Topuz,ProvideService,C62,C_AKG498003-gen,Hair_styling,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Kişisel Bakım Hizmetleri,Saç Yıkama,Yıkama,Bayanlar-İçin Erkekler-İçin,ProvideService,C62,C_AKG498003-gen,Hair_styling,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Kişisel Bakım Hizmetleri,Sakal Kesimi,Sakal Traşı,Standart-Uygulama Özel-Uygulama,ProvideService,C62,C_AKG498003-gen,Massage,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Sağlık Hizmetleri,Ayak Tedavileri,Ayak-Mantarı,Standart-Tedavi,ProvideService,C62,C_AAB405003-gen,Athlete%27s_foot,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Sağlık Hizmetleri,Ayak Tedavileri,Bunyon,Standart-Tedavi,ProvideService,C62,C_AAB405003-gen,Bunion,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Sağlık Hizmetleri,Ayak Tedavileri,Çatlak-Topuk,Standart-Tedavi,ProvideService,C62,C_AAB405003-gen,Heel,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Sağlık Hizmetleri,Ayak Tedavileri,Diyabetik-Ayak,Standart-Tedavi,ProvideService,C62,C_AAB405003-gen,Podiatry,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Sağlık Hizmetleri,Ayak Tedavileri,Nasır,Standart-Tedavi,ProvideService,C62,C_AAB405003-gen,Callus,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Sağlık Hizmetleri,Ayak Tedavileri,Siğil,Standart-Tedavi,ProvideService,C62,C_AAB405003-gen,Wart,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Sağlık Hizmetleri,Cilt Bakımı,Göz-Çevresi-Bakımı,Standart-Uygulama,ProvideService,C62,C_BAC092001-gen,Spray_tanning,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Sağlık Hizmetleri,Cilt Bakımı,Klasik-Cilt-Bakımı,Standart-Uygulama,ProvideService,C62,C_BAC092001-gen,Spray_tanning,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Sağlık Hizmetleri,Cilt Bakımı,Kök-Hücre-Bakımı,Standart-Uygulama,ProvideService,MIN,C_BAC092001-gen,Tanning_bed,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
